GOMAXPROCS,goroutines,OS Threads
1,10001,3
2,10001,4
3,10001,6
4,10001,7
5,10001,8
6,10001,9
7,10001,10
8,10001,11
9,10001,12
10,10001,13
11,10001,14
12,10001,15
13,10001,16
14,10001,16
15,10001,17
16,10001,19
17,10001,19
18,10001,20
19,10001,21
20,10001,22
21,10001,23
22,10001,24
23,10001,25
24,10001,26
25,10001,27
26,10001,28
27,10001,29
28,10001,30
29,10001,31
30,10001,32
31,10001,33
32,10001,34
33,10001,35
34,10001,36
35,10001,37
36,10001,38
37,10001,39
38,10001,40
39,10001,41
40,10001,42
41,10001,43
42,10001,44
43,10001,45
44,10001,46
45,10001,47
46,10001,48
47,10001,49
48,10001,50
49,10001,51
50,10001,52
51,10001,53
52,10001,54
53,10001,55
54,10001,56
55,10001,57
56,10001,57
57,10001,59
58,10001,60
59,10001,61
60,10001,61
61,10001,63
62,10001,64
63,10001,65
64,10001,66
65,10001,66
66,10001,67
67,10001,68
68,10001,70
69,10001,70
70,10001,72
71,10001,72
72,10001,74
73,10001,74
74,10001,75
75,10001,76
76,10001,78
77,10001,79
78,10001,79
79,10001,80
80,10001,81
81,10001,82
82,10001,83
83,10001,85
84,10001,86
85,10001,86
86,10001,87
87,10001,88
88,10001,89
89,10001,90
90,10001,92
91,10001,92
92,10001,94
93,10001,94
94,10001,96
95,10001,97
96,10001,97
97,10001,98
98,10001,99
99,10001,100
100,10001,102
